Sport1,League1,Team1_Leg1,Team2_Leg1,Sport2,League2,Team1_Leg2,Team2_Leg2,Sport3,League3,Team1_Leg3,Team2_Leg3
"Soccer","Spain Primera Federaci�n","Real Madrid Castilla","AD Alcorcón","Soccer","Spain Primera Federaci�n","Real Madrid Castilla","Alcorcon"
"Tennis","ITF W50","Lucciana Perez Alarcon","Reina Goto","Tennis","ITF W50","Lucciana Alarcon","Reina Goto"
"Tennis","ATP 250","Marozsan","Taro Daniel","Tennis","ATP 250","Fabian Marozsan","Taro Daniel"
"Soccer","Israel Israeli Liga Bet","Hapoel Bnei Jadeidi","Maccabi Ihud Bnei Avtin","Soccer","Israel Liga Bet","Hapoel Bnei Jdaidie Makr","Maccabi Ihud Bnei Avtin"
"Volleyball","Pan American Cup W","Canada","Cuba (W)","Volleyball","Pan American Cup W","Canada","Cuba"
"Volleyball","Pan American Cup W","Canada","Cuba","Volleyball","Pan American Cup W","Canada","Cuba (W)"
"Soccer","International Friendlies","South Korea","Ecuador","Soccer","International Friendlies","Korea Republic","Ecuador"
"Tennis","WTA 125","Falkowska W / Smith A","Altinel A N / Egorova D","Tennis","WTA 125","Falkowska W / Smith A","Altinel A N / Egorova D","Tennis","WTA 125","Falkowska/Smith","Altinel/Egorova"
"Soccer","Netherlands Eerste Divisie","Dordrecht","Almere City","Soccer","Netherlands Eerste Divisie","FC Dordrecht","Almere City FC"
"Basketball","Turkey BSL","Türk Telekom Basketbol Kulübü","Karsiyaka","Basketball","Turkey Super League","Turk Telekom","Pinar Karsiyaka"
"Soccer","Egypt Second Division A","FC Masar","Proxy","Soccer","Egypt Second Division A","FC Masar","Proxy Work Club","Soccer","Egypt Second Division A","FC Masar","Proxy Work Club"
"Soccer","Spain La Liga 2","Real Valladolid","Cordoba","Soccer","Spain La Liga 2","Valladolid","Cordoba","Soccer","Spain La Liga 2","Valladolid","Cordoba"
"Soccer","Spain La Liga 2","Real Valladolid CF","Córdoba CF","Soccer","Spain La Liga 2","Valladolid","Cordoba","Soccer","Spain La Liga 2","Valladolid","Cordoba"
"Soccer","AFCON","Cote d'Ivoire","Ghana","Soccer","AFCON","Ivory Coast","Ghana","Soccer","AFCON","Ivory Coast","Ghana"
"Soccer","AFCON","Cote d'Ivoire","Ghana","Soccer","Dutch Cup","Ivory Coast","Ghana","Soccer","AFCON","Ivory Coast","Ghana"
"Handball","World International Friendlies Women","North Macedonia (W)","Serbia (W)","Handball","International Friendlies Women","North Macedonia","Serbia"
"Soccer","AFCON","Cote d'Ivoire","Ghana","Soccer","Dutch Cup","Ivory Coast","Ghana","Soccer","Dutch Cup","Ivory Coast","Ghana"
"Soccer","AFCON","Mali","Cape Verde","Soccer","AFCON","Mali","Cape Verde Islands"
"Soccer","England League 1","Wycombe","Reading","Soccer","England League 1","Wycombe Wanderers","Reading FC"
"Soccer","UEFA U21 Euro","Slovakia U21","Ireland U21","Soccer","UEFA U21 Euro","Slovakia U21","Republic of Ireland U21"
"Soccer","UEFA U21 Euro","Iceland U21","France U21","Soccer","UEFA U21 Euro","Iceland U21","France U21","Soccer","UEFA U21 Euro Championship Qualifiers","Iceland","France"
"Soccer","UEFA Nations League A","Czechia","Croatia","Soccer","UEFA Nations League A","Czech Republic","Croatia","Soccer","UEFA Nations League A","Czech Republic","Croatia"
"Soccer","Israel Liga Bet","Tzofi Haifa","Tzeirey Haifa","Soccer","Israel Israeli Liga Bet","Tzofey Haifa Samir Farhud","Tzeirey Haifa","Soccer","Israel Israeli Liga Bet","Tzofey Haifa Samir Farhud","Tzeirey Haifa"
"Soccer","Spain La Liga 2","Tenerife","Cadiz","Soccer","Spain La Liga 2","CD Tenerife","Cadiz CF"
"Handball","Germany DHB Pokal","TVB 1898 Stuttgart","HC Erlangen","Handball","Germany DHB Pokal","TVB Stuttgart","HC Erlangen"
"Basketball","France Championnat Pro B","ASC Denain","Blois","Basketball","France Championnat Pro B","Asc Denain Voltaire Ph","Ada Blois Basket 41"
"Basketball","France Championnat Pro B","Asc Denain Voltaire Ph","Ada Blois Basket 41","Basketball","France Championnat Pro B","ASC Denain","Blois"
"Soccer","AFCON","Mali","Cape Verde Islands","Soccer","AFCON","Mali","Cape Verde","Soccer","Dutch Cup","Mali","Cape Verde"
"Soccer","UEFA U21 Euro Championship Qualifiers","Slovakia","Ireland","Soccer","UEFA U21 Euro","Slovakia U21","Republic of Ireland U21"
"Soccer","UEFA U21 Euro","Slovakia U21","Republic of Ireland U21","Soccer","UEFA U21 Euro Championship Qualifiers","Slovakia","Ireland","Soccer","UEFA U21 Euro Championship Qualifiers","Slovakia","Ireland"
"Soccer","UEFA U21 Euro","England U21","Kazakhstan U21","Soccer","UEFA U21 Euro Championship Qualifiers","England","Kazakhstan","Soccer","UEFA U21 Euro","England U21","Kazakhstan U21"
"Basketball","Euroleague","Panathinaikos BC","Paris Basketball","Basketball","Euroleague","Panathinaikos BC","Paris"
"Soccer","Wales Premier League","Penybont","Airbus UK Broughton","Soccer","Wales Premier League","Penybont","Airbus Uk Broughton FC","Soccer","Wales Premier League","Penybont","Airbus Uk Broughton FC"
"Basketball","Denmark Basketligaen","Team Fog Naestved","Holbaek-Stenhus","Basketball","Denmark Basketligaen","Team FOG Naestved","Holbaek"
"Soccer","Asian Games W","North Korea","Chinese Taipei","Soccer","Asian Games W","Korea DPR (W)","Chinese Taipei (W)","Soccer","Asian Games W","North Korea","Chinese Taipei"
"Basketball","Germany Bundesliga","Hamburg Towers","BV Chemnitz 99","Basketball","Germany Bundesliga","Hamburg Towers","Niners Chemnitz"
"Soccer","UEFA U21 Euro","England U21","Kazakhstan U21","Soccer","UEFA U21 Euro","England U21","Kazakhstan U21","Soccer","UEFA U21 Euro Championship Qualifiers","England","Kazakhstan"
"Tennis","ATP 250","Nikoloz Basilashvili","Botic Van de Zandschulp","Tennis","ATP 250","Nikoloz Basilashvili","Bot Van de Zandschulp"
"Tennis","ATP 250","Nikoloz Basilashvili","Botic Van de Zandschulp","Tennis","ATP 250","Nikoloz Basilashvili","Botic Van De Zandschulp"
"Soccer","North Macedonian Cup","Teteks Tetovo","Rabotnicki Skopje","Soccer","North Macedonia 2nd League","Teteks Tetovo","Rabotnicki"
"Soccer","Finland Ykkonen","Tampere United","JJK","Soccer","Finland Ykkonen","Tampere Utd","JJK"
"Soccer","Finland Ykkonen","Tampere United","JJK","Soccer","Finland Finland Ykkönen","Tampere United","JJK Jyvaskyla"
"Soccer","Finland Ykkonen","Tampere Utd","JJK","Soccer","Finland Finland Ykkönen","Tampere United","JJK Jyvaskyla"
"Soccer","Israel Israeli Liga Bet","Maccabi Isffiya","SC Givat Olga","Soccer","Israel Liga Bet","Maccabi Isfia","Givat Olga"
"Soccer","Republic of North Macedonian Soccer","Teteks Tetovo","Rabotnicki Skopje","Soccer","North Macedonia 2nd League","Teteks Tetovo","Rabotnicki"
"Soccer","Finland Finland Ykkönen","Tampere United","JJK Jyvaskyla","Soccer","Finland Finland Ykkönen","Tampere United","JJK Jyvaskyla","Soccer","Finland Ykkonen","Tampere Utd","JJK"
"Soccer","Israel Liga Bet","Hapoel Hod HaSharon","Hapoel Kafr Qasim Shouaa","Soccer","Israel Israeli Liga Bet","Hapoel Hod Hasharon","Hapoel Kafr Qasim Shouaa"
"Tennis","ATP Chengdu Open R16","Jenson Brooksby","Lorenzo Sonego","Tennis","ATP 250","Brooksby","Lorenzo Sonego"
"Basketball","Euroleague","Panathinaikos","Paris Basketball","Basketball","Euroleague","Panathinaikos BC","Paris Basketball"
"Soccer","Finland Ykkonen","Tampere Utd","JJK","Soccer","Finland Ykkonen","Tampere United","JJK"
"Basketball","Euroleague","Panathinaikos BC","Paris Basketball","Basketball","Euroleague","Panathinaikos","Paris Basketball"
"Valorant","Valorant","G2 Esports","TYLOO","Valorant","Valorant","TYLOO","G2"
"Soccer","Morocco Moroccan Botola Pro 1","US Amal Tiznit","IRT Tanger","Soccer","Morocco Botola Pro","Union Sportif Amal Tiznit","Ittihad Tanger"
"Soccer","Japan J2","Iwata","Vanraure Hachinohe","Soccer","Japan J2","Jubilo Iwata","Vanraure Hachinohe"
"Basketball","Japan B1","Ibaraki Robots","San En Neo Phoenix","Basketball","Japan B1","Ibaraki Robots","San-En Neophoenix"
"Basketball","Germany Bundesliga","Rasta Vechta","Brose Bamberg","Basketball","Germany Bundesliga","SC Rasta Vechta","Brose Bamberg","Basketball","Germany Bundesliga","SC Rasta Vechta","Brose Bamberg"
"Basketball","Germany Bundesliga","TBB Trier","Telekom Baskets Bonn","Basketball","Germany Bundesliga","TBB Trier","Baskets Bonn"
"Soccer","Norway Toppserien W","Bodo/Glimt","Roa","Soccer","Norway Toppserien W","Bodo Glimt","Roa IL"
"Soccer","Norway Toppserien W","Bodoe/Glimt (W)","Roea (W)","Soccer","Norway Toppserien W","Bodo Glimt","Roa IL"
"Soccer","Norway Toppserien W","Bodoe/Glimt (W)","Roea (W)","Soccer","Norway Toppserien W","Bodo/Glimt","Roa"
"Basketball","France LNB Pro A","Dijon","Strasbourg","Basketball","France France Championnat Pro A","JDA Dijon Basket","SIG Strasbourg"
"Soccer","North Macedonia 2nd League","Teteks Tetovo","Rabotnicki","Soccer","North Macedonian Cup","Teteks Tetovo","Rabotnicki Skopje"
"Soccer","Morocco Botola Pro","Union Sportif Amal Tiznit","Ittihad Tanger","Soccer","Morocco Moroccan Botola Pro 1","US Amal Tiznit","IRT Tanger","Soccer","Morocco Moroccan Botola Pro 1","US Amal Tiznit","IRT Tanger"
"Football","NCAAF","Florida State","Central Arkansas","Football","NCAAF","Florida State Seminoles","Central Arkansas"
"Soccer","UEFA Nations League A","Georgia","Northern Ireland","Soccer","UEFA Nations League A","Georgia (2)","Northern Ireland","Soccer","UEFA Nations League A","Georgia","Northern Ireland"
"Football","NCAAF","Rutgers Scarlet Knights","Howard Bison","Football","NCAAF","Rutgers","Howard","Football","NCAAF","Rutgers","Howard"
"Soccer","UEFA U21 Euro","Slovakia U21","Rep of Ireland U21","Soccer","UEFA U21 Euro Championship Qualifiers","Slovakia","Ireland"
"Soccer","International Friendlies International U19","Serbia U19","Bulgaria U19","Soccer","International Friendlies U19","Serbia","Bulgaria"
"Soccer","UEFA U21 Euro","Switzerland U21","Luxembourg U21","Soccer","UEFA U21 Euro Championship Qualifiers","Switzerland","Luxembourg"
"Tennis","ATP Challenger","Neumayer","Luka Mikrut","Tennis","ATP Challenger","Lukas Neumayer","Luka Mikrut"
"Football","NCAAF","Wyoming","Hawaii","Football","NCAAF","Wyoming Cowboys","Hawaii Rainbow Warriors"
"Rugby","World United Rugby Championship","The Lions","Leinster","Rugby","United Rugby Championship","Lions","Leinster","Rugby","United Rugby Championship","Lions","Leinster"
"Soccer","International Friendlies U19","Serbia","Bulgaria","Soccer","International Friendlies International U19","Serbia U19","Bulgaria U19","Soccer","International Friendlies International U19","Serbia U19","Bulgaria U19"
"Soccer","Asian Games W","North Korea","Chinese Taipei","Soccer","Asian Games W","Korea DPR (W)","Chinese Taipei (W)","Soccer","International Other Competitions Soccer","Korea DPR (W)","Chinese Taipei (W)"
