Sport1,League1,Team1_Leg1,Team2_Leg1,Sport2,League2,Team1_Leg2,Team2_Leg2,Sport3,League3,Team1_Leg3,Team2_Leg3
"Soccer","UEFA Champions League W","Servette Women","Lyon Women","Soccer","UEFA Champions League W","Servette FC","Olympique Lyonnais"
"Soccer","UEFA Champions League W","Barcelona","Paris FC","Soccer","UEFA Champions League W","Barcelona Women","Paris FC Women"
"Soccer","International UEFA Ladies Europa Cup","Sparta Prague (W)","FC Farul Constanta (W)","Soccer","UEFA Europa Cup Women","Sparta Prague","Farul Constanta"
"Soccer","Asian Games","China","UAE","Soccer","International Other Competitions Soccer","China U23","United Arab Emirates U23"
"Soccer","Asian Games","Japan","Thailand","Soccer","International Other Competitions Soccer","Japan U23","Thailand U23","Soccer","International Other Competitions Soccer","Japan U23","Thailand U23"
"Soccer","UEFA Champions League W","Barcelona Women","Paris FC Women","Soccer","UEFA Champions League W","Barcelona","Paris FC"
"Soccer","Japan Emperor�s Cup","Kashiwa Reysol","Imabari","Soccer","Japan Emperor�s Cup","Kashiwa Reysol","Imabari","Soccer","Emperor's Cup","Kashiwa Reysol","FC Imabari"
"Soccer","Argentina Liga Pro Reserves","Lanus Reserve","Banfield Reserve","Soccer","Argentina Liga Pro Reserves","CA Lanus (Res)","CA Banfield (Res)"
"Soccer","UEFA Champions League W","Barcelona","Paris FC","Soccer","UEFA Champions League W","Barcelona Women","Paris FC Women","Soccer","UEFA Champions League W","Barcelona","Paris FC"
"Basketball","Australia NBL","Cairns Taipans","Tasmania JackJumpers","Basketball","Australia NBL","Cairns Taipans","Tasmania Jackjumpers"
"Soccer","Japanese League Cup W","Omiya Ardija Ventus","Mynavi Sendai","Soccer","International Other Competitions Soccer","Omiya Ardija (W)","Mynavi Sendai (W)","Soccer","International Other Competitions Soccer","Omiya Ardija (W)","Mynavi Sendai (W)"
"Soccer","Japan Emperor�s Cup","Kashiwa Reysol","Imabari","Soccer","Japan Emperor�s Cup","Kashiwa","FC Imabari"
"Soccer","Asian Games","Iran U23","North Korea","Soccer","Other Competitions Soccer","Iran U23","North Korea U23"
"Soccer","Uruguay Cup","Boston River","Fenix","Soccer","Uruguay Cup","Boston River","Centro Atletico Fenix"
"Tennis","ATP 250","Alexandre Muller","Petr Bar Biryukov","Tennis","ATP 250","A Muller","Bar Biryukov"
"Soccer","Uruguay Cup","Montevideo Wanderers","Cerrito","Soccer","Uruguay Cup","Montevideo Wanderers","Cerrito Cs","Soccer","Uruguay Cup","Montevideo Wanderers","Cerrito"
"Soccer","Asian Games","Iran","North Korea","Soccer","International Other Competitions Soccer","Iran U23","North Korea U23"
"Tennis","ATP Challenger","Trevor Svajda","Federico Agustin Gomez","Tennis","ATP Challenger","T Svajda","Fede Gomez"
"Tennis","ATP Challenger","Roncadelli","Boscardin Dias","Tennis","ATP Challenger","Franco Roncadelli","Pedro Boscardin Dias"
"Soccer","Japanese League Cup W","Cerezo Osaka","Sanfrecce Hiroshima Regina","Soccer","Japanese League Cup W","Cerezo Osaka","Sanfrecce Hiroshima","Soccer","International Other Competitions Soccer","Cerezo Osaka (W)","Sanfrecce Hiroshima (W)"
"Soccer","Czech Cup","SK Kladno","Banik Ostrava","Soccer","Czech Cup","Kladno","Banik Ostrava"
"Soccer","Colombia Primera A","America de Cali","Rionegro Aguilas","Soccer","Colombia Primera A","America de Cali","Aguilas Doradas"
"Soccer","Spain Spanish Copa Federacion","Club Atletico Saguntino","CDA Navalcarnero","Soccer","Spain Federation Cup","Atletico Saguntino","Navalcarnero"
"Soccer","Colombia Primera A","America de Cali","Rionegro Aguilas","Soccer","Colombia Primera A","America de Cali","Aguilas Doradas","Soccer","Colombia Primera A","America de Cali","Rionegro Aguilas"
"Soccer","Colombia Primera A","America de Cali","Rionegro Aguilas","Soccer","Colombia Primera A","America de Cali S.A","Aguilas Doradas","Soccer","Colombia Primera A","America de Cali S.A","Aguilas Doradas"
